tokenization
"['垃圾', '分类', '可行', '但是', '太晚', '了', '现在', '最好', '的', '办法', '是', '先', '把', '海洋', '里', '和', '大江', '大河', '上', '漂浮', '的', '垃圾', '打捞', '出来', '然后', '对', '这些', '垃圾', '进行', '集中处理', '可', '召集', '志愿者', '同时', '对', '塑料制品', '进行', '严格', '把', '控在', '没有', '出现', '替代品', '前', '控制', '产量', '最后', '垃圾', '分类', '层层', '监控', '层层', '把关', '最好', '还是', '从', '意识', '上', '垃圾', '分类', '不然', '一切', '只会', '是', '无用功']"
"['垃圾', '分类', '很', '重要', '同时', '减少', '垃圾', '也', '很', '重要', '比如', '厨余', '垃圾', '尽量', '不', '剩饭', '吃', '多少', '做', '多少', '减少', '浪费', '再', '比如', '一些', '可回收', '垃圾', '有', '很多', '都', '是', '可以', '再次', '利用', '的', '我会', '用', '结实', '的', '快递', '纸盒', '贴', '上', '漂亮', '的', '纸', '做', '收纳盒', '给', '儿子', '做', '一点', '简单', '的', '玩具', '；', '用过', '的', '好看', '的', '饮料瓶', '我', '都', '会', '留下来', '收纳', '家里', '的', '豆子', '做成', '笔筒', '花瓶', '等', '工艺品', '；', '出门', '...', '全文']"
"['垃圾', '分类', '的', '意义', '在', '哪里', '大家', '辛辛苦苦', '分类', '好', '的', '垃圾', '被', '一个', '垃圾车', '全部', '混装', '拉走', '呵呵', '呵', '垃圾', '分类']"
"['垃圾', '分类', '超话', '这个', '设想', '其实', '成龙', '大哥', '早就', '倡导', '过', '他', '的', '个人', '传记', '中', '就', '写', '到', '过', '很多', '关于', '垃圾', '分类', '的', '想法', '和', '见解', '《', '还', '没', '长大', '就', '老', '了', '》', '这部', '书', '让', '我', '读', '到', '了', '不', '一样', '的', '公众', '人物', '成龙', '他', '是', '元楼', '是', '陈港生', '是', '陈元龙', '是', 'JackieChan', '作为', '演员', '导演', '歌手', '公益', '慈善家', '华人', '形象大使', '他', '的', '身份', '是', '说', '...', '全文']"
"['垃圾', '分类', '超话', '另外', '希望', '尽量', '不要', '再', '进口', '洋垃圾', '不然', '全', '社会', '为', '垃圾', '分类', '付出', '的', '一切', '都', '会', '成为', '笑话', '如果', '中国', '可以', '做到', '相信', '那些', '曾', '给', '中国', '出口', '洋垃圾', '的', '国家', '也', '可以', '做到', '没有', '做', '可能', '更', '多', '的', '是', '不愿', '做', '毕竟', '垃圾', '分类', '需要', '付出', '的', '社会', '成本', '应该', '远大于', '直接', '打包', '出口', '垃圾', '分类']"
"['垃圾', '分类', '超话', '垃圾', '分类', '收纳', '有', '一种', '想', '扔', '却', '不能', '扔', '的', '伤痛', '叫做', '垃圾', '分类', '收费', '有', '一种', '解决', '伤痛', '的', '特效', '良药', '叫', '规划', '整理', '思维', '穷人', '在', '日本', '都', '不配', '扔', '垃圾', '很多', '人', '被', '逼', '得', '只能', '把', '垃圾', '屯', '家里']"
