text,attitudes,comments,reposts
有没上海的小姐姐教下垃圾分类呢？（明天就要去上海玩的我）沾上冰激凌的纸怎么办。。。沾上油的包装纸怎么办。。。奶茶怎么办。。。#垃圾分类#垃圾分类超话,0,4,0
#垃圾分类##淮北#太好了太好了，我们家楼下还没有垃圾分类的垃圾桶，希望不要波及我们家，不然我只能滚去蚌埠,0,0,0
#垃圾分类挑战##垃圾分类#今日份垃圾分类在线沙雕营业,2,6,0
#垃圾分类# 曾經，我吃完一份外賣是因為我真的餓了。如今，是我餓了之餘我還不想垃圾分類。一根菜一根蔥我都不敢有剩。,0,0,0
#我在西安上学# 【西安交大崇实书院发布垃圾分类主题微电影《崇实·重拾》】日前，为响应国家号召，倡导低碳生活，营造文明和谐的社会环境，@西安交通大学 崇实书院发布垃圾分类微电影《崇实·重拾》，积极推进垃圾分类工作，倡议师生行动起来，积极自觉做好垃圾分类工作，做改善环境的先行者、保护环境 ...全文,1,1,0
#垃圾分类# 集合表，码了,1,0,0
"#保护环境##垃圾分类##暑假三下乡##三下乡,大学生志愿者在行动#镜头里的三下乡超话镜头里的三下乡超话 “携儿童保护环境·为绿化添砖加瓦”活动在昨天社区居民、儿童的积极参与下，迎来了今天的后续。信息技术分院暑期“三下乡”全体队员和小朋友们一起将变身后的轮胎种上绿植并摆放在社区 ...全文",0,1,1
我，在苏州#垃圾分类# 价格可以谈,0,0,0
【沈阳垃圾分类获得积分 可在超市消费兑换日用品】垃圾分类的工作已经陆续在沈阳各大小区开展起来，沈河区山东庙街道三八南社区，居民垃圾分类就能获得积分，可在超市消费兑换日用品，这种做法赢得了居民的认可。对于#垃圾分类# ，你还有什么宣传方法吗？欢迎留言告诉北国君哦！沈阳垃圾分类获得积分可在超市消费兑换日用品,0,1,0
搜狗输入法最新功能——垃圾分类，只需要用输入法打出问题，比如：西瓜皮是什么垃圾，就可以直接显示结果！与时俱进，快准狠！搜狗这波厉害了！#垃圾分类#,3,0,0
这手游广告值得推广……#垃圾分类# 济南,0,0,0
有个问题，既然都是垃圾分类，每个地域的分法还不一样？#垃圾分类#,0,0,0
#垃圾分类 从我做起# 7月9日，中铁二十四局集团南昌公司联合南昌铁路公安处南昌车站派出所在南昌火车站候车室开展“垃圾分类 从我做起”宣传活动。志愿者通过唱跳“垃圾分类歌”、做小游戏、分发宣传单等形式，向旅客宣传垃圾分类知识。（江西日报记者赵庆）网页链接,3,0,1
#垃圾分类# 垃圾男人分类转自网络,0,0,0
#垃圾分类# 请问我到底是个什么垃圾,0,1,0
#上海垃圾分类纳入学业水平考试# 罚多少说吧十八线小城市济宁哪能混的上垃圾分类啊前两天考语文，作文是宜宾地震，亏我发了几条微博还是不会写今天的垃圾分了我吃了9天的瓜然后还是不会写我都辜负我刷微博的流量 ...全文,1,3,1
泰国公益广告：人类，你为什不吃塑料袋？#垃圾分类# 阅读手册的微博视频,86,5,43
#垃圾分类# 绿色环保小熊猫，随身带四个桶哦！#ever手绘##插画#,18,10,1
菲律宾甘米银（下）在这里有100万株珊瑚它们养育了全球近三分之一的海洋生物跟我一起行动起来 保护海洋吧😘@微博故事 @新浪旅游 #旅游嘉年华# #垃圾分类# 微博视频,18,1,1
垃圾分类地理篇你是什么垃圾？？？#期末考试##垃圾分类##上海垃圾分类# 济宁·汶上一中,0,0,0
#垃圾分类# 想说对自己好点吧，炖点骨头汤喝，还要想想这个骨头是大骨头还是小骨头，是干垃圾还是湿垃圾 上海,0,0,0
自7月1日开始实施的#垃圾分类# ，已经过去了10天了。大家对四种垃圾的分类已经都深谙于心了吧。但是你们知道，“做好垃圾分类，还有助于循环经济吗？”♻️,0,0,0
垃圾都分类了，那你是什么垃圾#垃圾分类#,0,0,0
#垃圾分类挑战##垃圾分类#真人版哈哈哈,0,0,0
【垃圾分类方式混乱】#微行大爱##健康内蒙古##垃圾分类#现在以上海为代表的地方，按“可回收物”、“干垃圾”、“湿垃圾”和“有毒有害垃圾”分类。之前很多地方是按照“可回收垃圾”、“不可回收垃圾”、“厨余垃圾”、“有害垃圾”、“其他垃圾”等来分类的。而“可回收”本不是垃圾，“其他垃圾 ...全文,4,4,0
#垃圾分类#环境关系你我他，垃圾分类靠大家。,0,0,0
北京的#垃圾分类#居然和上海的不一样！ 你是个什么垃圾北京版，2分钟带你了解北京垃圾如何分类。尤其经常折返北京和上海的小伙伴，估计心态要崩了 迦南之约教堂婚礼策划的微博视频,0,0,0
